PartitionMovement,InstancePartitionCount,ResourcePartitionCount,ResourceTopStateCount,MaxCapacityKeyUsage,evennessCV,movedToNewInstances,movedBetweenOldInstances,STBetweenOldInstances,maxResourceCount,maxPartitionCount,maxCapacityKeyUsage,maxTopStateUsage
19.0,85.0,5.0,49.0,48.0,0.57686,45.0,45.0,45.0,0.44924074,0.40657547,0.57686,0.2958271
38.0,30.0,52.0,42.0,30.0,0.9385141,14.0,14.0,14.0,0.8296331,0.83056,0.9385141,0.7922109
79.0,20.0,88.0,4.0,15.0,1.1371154,0.0,0.0,0.0,1.0117869,1.0268064,1.1371154,1.0805936
7.0,45.0,28.0,48.0,54.0,0.5562232,45.0,45.0,45.0,0.44924074,0.40657547,0.5562232,0.2958271
60.0,44.0,52.0,65.0,43.0,1.1026764,4.0,4.0,4.0,0.95610726,0.9734722,1.1026764,1.0038214
52.0,74.0,34.0,91.0,24.0,0.7784631,30.0,30.0,30.0,0.639369,0.62964344,0.7784631,0.55457014
47.0,41.0,50.0,93.0,91.0,0.82423264,30.0,30.0,30.0,0.63561344,0.62964344,0.82423264,0.5362322
27.0,84.0,50.0,3.0,15.0,0.72149783,31.0,31.0,31.0,0.60657376,0.6080954,0.72149783,0.51724446
55.0,55.0,39.0,51.0,45.0,0.96989423,10.0,10.0,10.0,0.88516134,0.88748133,0.96989423,0.8761392
10.0,54.0,91.0,40.0,8.0,0.6636784,45.0,45.0,45.0,0.44817933,0.44817933,0.6636784,0.51724446
51.0,81.0,89.0,19.0,70.0,0.9305035,15.0,15.0,15.0,0.8166335,0.81434584,0.9305035,0.77948374
27.0,91.0,23.0,13.0,59.0,0.69147825,35.0,35.0,35.0,0.53436494,0.5625285,0.69147825,0.5723209
15.0,77.0,5.0,55.0,37.0,0.5827468,45.0,45.0,45.0,0.44924074,0.40657547,0.5827468,0.2958271
32.0,99.0,41.0,33.0,69.0,0.7525145,31.0,31.0,31.0,0.6008975,0.62254363,0.7525145,0.5723209
7.0,86.0,52.0,19.0,19.0,0.6545519,45.0,45.0,45.0,0.4262506,0.40657547,0.6545519,0.43304655
88.0,81.0,70.0,92.0,71.0,0.98647827,10.0,10.0,10.0,0.88516134,0.88748133,0.98647827,0.8761392
18.0,1.0,2.0,9.0,50.0,1.0870864,0.0,0.0,0.0,1.0195383,1.0268064,1.0870864,1.0429142
29.0,55.0,77.0,53.0,16.0,0.75094104,31.0,31.0,31.0,0.60657376,0.6080954,0.75094104,0.51724446
45.0,57.0,45.0,25.0,58.0,0.93623716,14.0,14.0,14.0,0.8296331,0.83056,0.93623716,0.7922109
98.0,67.0,22.0,59.0,47.0,1.0840043,0.0,0.0,0.0,1.0243523,1.0268064,1.0840043,1.0429142
57.0,59.0,20.0,55.0,21.0,0.94599074,10.0,10.0,10.0,0.88748133,0.88748133,0.94599074,0.8761392
89.0,92.0,16.0,16.0,28.0,1.1785032,0.0,0.0,0.0,1.0117869,1.0268064,1.1785032,1.0898099
65.0,64.0,98.0,19.0,51.0,1.0427718,4.0,4.0,4.0,0.9583602,0.9734722,1.0427718,1.0038214
44.0,34.0,25.0,65.0,96.0,0.9713039,10.0,10.0,10.0,0.8838537,0.88748133,0.9713039,0.8761392
37.0,96.0,65.0,85.0,37.0,0.7214962,31.0,31.0,31.0,0.60657376,0.6080954,0.7214962,0.51724446
75.0,43.0,68.0,62.0,47.0,1.104415,0.0,0.0,0.0,1.0117869,1.0268064,1.104415,1.0805936
41.0,26.0,79.0,32.0,12.0,0.99884415,10.0,10.0,10.0,0.8760166,0.89247596,0.99884415,0.88748133
29.0,4.0,44.0,43.0,62.0,1.0909965,4.0,4.0,4.0,0.95610726,0.9734722,1.0909965,1.0038214
20.0,61.0,83.0,62.0,82.0,0.7385312,31.0,31.0,31.0,0.60657376,0.6080954,0.7385312,0.51724446
38.0,93.0,6.0,1.0,29.0,0.766505,31.0,31.0,31.0,0.59334385,0.6153619,0.766505,0.55457014
23.0,60.0,87.0,86.0,38.0,0.7073769,31.0,31.0,31.0,0.60657376,0.6080954,0.7073769,0.51724446
59.0,23.0,29.0,66.0,34.0,1.0752671,0.0,0.0,0.0,1.0195383,1.0268064,1.0752671,1.0429142
