PartitionMovement,InstancePartitionCount,ResourcePartitionCount,ResourceTopStateCount,MaxCapacityKeyUsage,evennessCV,movedToNewInstances,movedBetweenOldInstances,STBetweenOldInstances,maxResourceCount,maxPartitionCount,maxCapacityKeyUsage,maxTopStateUsage
67.0,6.0,45.0,97.0,64.0,1.0743089,0.0,0.0,0.0,1.0195383,1.0268064,1.0743089,1.0429142
12.0,29.0,70.0,47.0,100.0,0.8019451,31.0,3.0,0.0,0.6080954,0.6080954,0.8019451,0.51724446
50.0,40.0,1.0,52.0,49.0,1.0158765,6.0,0.0,0.0,0.94331264,0.94567776,1.0158765,0.92066956
27.0,70.0,70.0,50.0,53.0,0.73119,31.0,0.0,0.0,0.60657376,0.6080954,0.73119,0.51724446
44.0,36.0,84.0,78.0,15.0,0.9331675,14.0,0.0,0.0,0.8296331,0.83056,0.9331675,0.7922109
44.0,12.0,42.0,34.0,36.0,1.1251104,0.0,0.0,0.0,1.0117869,1.0268064,1.1251104,1.0805936
80.0,7.0,21.0,80.0,58.0,1.1567364,0.0,0.0,0.0,1.0195383,1.0268064,1.1567364,1.0429142
72.0,42.0,13.0,58.0,20.0,1.1319066,0.0,0.0,0.0,1.0243523,1.0268064,1.1319066,1.0429142
87.0,87.0,58.0,14.0,83.0,1.1454583,0.0,0.0,0.0,1.0117869,1.0268064,1.1454583,1.0805936
95.0,62.0,44.0,91.0,14.0,1.1784662,0.0,0.0,0.0,1.0195383,1.0268064,1.1784662,1.0429142
86.0,36.0,59.0,3.0,2.0,1.1524673,0.0,0.0,0.0,1.0117869,1.0268064,1.1524673,1.0805936
65.0,82.0,41.0,51.0,96.0,0.98332214,15.0,0.0,0.0,0.81852186,0.81434584,0.98332214,0.77948374
79.0,61.0,48.0,66.0,31.0,1.1118811,4.0,0.0,0.0,0.95610726,0.9734722,1.1118811,1.0038214
47.0,86.0,70.0,48.0,21.0,0.75935096,31.0,0.0,0.0,0.5986027,0.6080954,0.75935096,0.51724446
89.0,48.0,10.0,35.0,86.0,1.1116763,0.0,0.0,0.0,1.0243523,1.0268064,1.1116763,1.0429142
26.0,64.0,74.0,15.0,100.0,0.7145346,31.0,0.0,0.0,0.60657376,0.6080954,0.7145346,0.51724446
38.0,42.0,82.0,99.0,75.0,0.7726067,31.0,0.0,0.0,0.5986027,0.6080954,0.7726067,0.51724446
63.0,40.0,31.0,35.0,4.0,1.125907,0.0,0.0,0.0,1.0117869,1.0268064,1.125907,1.0805936
32.0,24.0,48.0,7.0,99.0,1.1108307,0.0,0.0,0.0,1.0117869,1.0268064,1.1108307,1.0805936
2.0,100.0,50.0,92.0,82.0,0.6563666,45.0,6.0,0.0,0.44924074,0.40657547,0.6563666,0.2958271
69.0,30.0,56.0,12.0,88.0,1.1002556,0.0,0.0,0.0,1.0117869,1.0268064,1.1002556,1.0805936
37.0,4.0,20.0,13.0,30.0,1.1263803,0.0,0.0,0.0,1.0117869,1.0268064,1.1263803,1.0805936
4.0,83.0,71.0,98.0,19.0,0.6648313,45.0,5.0,0.0,0.44924074,0.40657547,0.6648313,0.2958271
21.0,28.0,26.0,16.0,72.0,0.91183037,15.0,0.0,0.0,0.8166335,0.81434584,0.91183037,0.77948374
73.0,96.0,72.0,9.0,89.0,1.0977935,4.0,0.0,0.0,0.95610726,0.9734722,1.0977935,1.0038214
50.0,7.0,41.0,48.0,8.0,1.1080275,0.0,0.0,0.0,1.0117869,1.0268064,1.1080275,1.0805936
41.0,7.0,48.0,19.0,12.0,1.1048366,0.0,0.0,0.0,1.0117869,1.0268064,1.1048366,1.0805936
96.0,23.0,38.0,10.0,89.0,1.141331,0.0,0.0,0.0,1.0144362,1.0268064,1.141331,1.0805936
48.0,76.0,69.0,24.0,33.0,0.7427787,31.0,0.0,0.0,0.5986027,0.6080954,0.7427787,0.51724446
71.0,51.0,93.0,39.0,17.0,1.0413759,4.0,0.0,0.0,0.95610726,0.9734722,1.0413759,1.0038214
81.0,83.0,7.0,69.0,24.0,0.9877499,6.0,0.0,0.0,0.94331264,0.94567776,0.9877499,0.92066956
35.0,2.0,51.0,6.0,69.0,1.1099241,0.0,0.0,0.0,1.0144362,1.0268064,1.1099241,1.0805936
1.0,4.0,82.0,77.0,72.0,0.81266874,35.0,8.0,0.0,0.5464959,0.5464959,0.81266874,0.43304655
4.0,50.0,72.0,78.0,99.0,0.55229825,45.0,5.0,1.0,0.44924074,0.40657547,0.55229825,0.2958271
35.0,45.0,15.0,52.0,9.0,0.7683055,30.0,0.0,0.0,0.639369,0.62964344,0.7683055,0.55457014
70.0,53.0,46.0,13.0,22.0,1.0882075,0.0,0.0,0.0,1.0117869,1.0268064,1.0882075,1.0805936
89.0,83.0,47.0,71.0,21.0,1.0786296,3.0,0.0,0.0,0.9698388,0.9870759,1.0786296,1.0332797
29.0,55.0,100.0,91.0,8.0,0.75148964,31.0,0.0,0.0,0.60657376,0.6080954,0.75148964,0.51724446
41.0,55.0,18.0,37.0,22.0,0.93258476,15.0,0.0,0.0,0.81852186,0.81434584,0.93258476,0.77948374
54.0,47.0,87.0,88.0,29.0,0.9199536,14.0,0.0,0.0,0.8296331,0.83056,0.9199536,0.7922109
29.0,92.0,88.0,13.0,89.0,0.7359117,31.0,0.0,0.0,0.60657376,0.6080954,0.7359117,0.51724446
91.0,50.0,81.0,68.0,28.0,1.0744321,0.0,0.0,0.0,1.0117869,1.0268064,1.0744321,1.0805936
15.0,12.0,96.0,15.0,75.0,0.9602274,15.0,0.0,0.0,0.81311566,0.81978625,0.9602274,0.7922109
29.0,46.0,100.0,47.0,69.0,0.7751943,31.0,0.0,0.0,0.60657376,0.6080954,0.7751943,0.51724446
